FIR_Number,Crime_Head,Applicable_Law,Section,MO_Description
FIR-936/2025-f20d,Cyber Crime,BNS 2023,283,Sent phishing link offering fake loan
FIR-392/2026-e99d,Theft,BNS 2023,362,Stole copper wires from a construction site in Tumakuru Town PS
FIR-883/2025-9372,Theft,BNS 2023,265,Pickpocketed mobile phone at a crowded market in Saraswathipuram PS
FIR-632/2025-ed77,Theft,BNS 2023,352,Pickpocketed mobile phone at a crowded market in Kuvempunagar PS
FIR-502/2025-a39c,Cheating,BNS 2023,309,Chit fund scam defrauding multiple investors in Tumakuru Town PS
FIR-961/2025-e510,NDPS,BNS 2023,245,Found possessing cocaine at a rave party in Kyathasandra PS
FIR-609/2025-6bae,Assault,BNS 2023,186,Physical altercation over property dispute in Devaraja PS
FIR-698/2026-84ab,Cheating,BNS 2023,387,Chit fund scam defrauding multiple investors in Tilakwadi PS
FIR-749/2025-abc6,Theft,BNS 2023,163,Stole copper wires from a construction site in Tumakuru Town PS
FIR-187/2026-d91c,Cheating,BNS 2023,356,Chit fund scam defrauding multiple investors in Malleswaram PS
FIR-472/2026-23d2,Theft,BNS 2023,347,Stole parked two-wheeler from Tilakwadi PS
FIR-666/2025-fd4a,NDPS,BNS 2023,120,Smuggling synthetic drugs in a hidden compartment near Khadebazar PS
FIR-591/2026-6de4,Murder,BNS 2023,294,Attacked with a sharp weapon at night near Kuvempunagar PS
FIR-623/2025-a466,Robbery,BNS 2023,339,Broke into house and stole valuables in Malleswaram PS
FIR-555/2026-e0c8,Robbery,BNS 2023,326,Broke into house and stole valuables in Kuvempunagar PS
FIR-988/2026-b66d,NDPS,BNS 2023,248,Caught selling marijuana packets near college in Belagavi Camp PS
FIR-918/2025-1e99,Robbery,BNS 2023,241,Threatened with a knife and stole wallet at Koramangala PS
FIR-450/2025-c5b1,Robbery,BNS 2023,286,Threatened with a knife and stole wallet at Belagavi Camp PS
FIR-891/2025-d1fe,POCSO,BNS 2023,142,Groomed minor over social media
FIR-881/2026-058b,Cyber Crime,BNS 2023,193,Romance scam on dating app leading to crypto transfer
FIR-455/2026-5480,Murder,BNS 2023,177,Poisoned during a family dispute at Kyathasandra PS
FIR-402/2026-b05e,Assault,BNS 2023,290,Group clash using sticks and stones in Devaraja PS
FIR-842/2026-7c37,Murder,BNS 2023,224,Attacked with a sharp weapon at night near Kyathasandra PS
FIR-150/2025-9737,Theft,BNS 2023,366,Pickpocketed mobile phone at a crowded market in Koramangala PS
FIR-556/2025-4e07,Murder,BNS 2023,107,Attacked with a sharp weapon at night near Kyathasandra PS
FIR-429/2026-2d47,Cheating,BNS 2023,315,Chit fund scam defrauding multiple investors in Kyathasandra PS
FIR-862/2026-b187,Murder,BNS 2023,367,Stabbed after a drunken brawl in Saraswathipuram PS
FIR-327/2025-a4db,Theft,BNS 2023,312,Stole copper wires from a construction site in Saraswathipuram PS
FIR-980/2025-7d33,POCSO,BNS 2023,137,Assaulted minor on the way to school near Khadebazar PS
FIR-809/2026-a581,Cheating,BNS 2023,115,Sold fake property documents to victim in Dharwad Suburban PS
FIR-231/2025-e7b6,Robbery,BNS 2023,203,Broke into house and stole valuables in Vidyanagar PS
FIR-101/2026-c5f2,Cheating,BNS 2023,378,Chit fund scam defrauding multiple investors in Tilakwadi PS
FIR-826/2026-4ce8,Murder,BNS 2023,384,Poisoned during a family dispute at Hubballi Town PS
FIR-219/2026-7aee,Assault,BNS 2023,190,Road rage incident leading to severe injuries near Saraswathipuram PS
FIR-686/2025-d1d1,Theft,BNS 2023,320,Stole copper wires from a construction site in Kyathasandra PS
FIR-148/2026-c25b,Cheating,BNS 2023,150,Chit fund scam defrauding multiple investors in Dharwad Suburban PS
FIR-579/2025-7427,POCSO,BNS 2023,143,Harassed minor in the neighborhood of Belagavi Camp PS
FIR-163/2026-4e19,Cheating,BNS 2023,256,Promised a job and took advance money in Tumakuru Town PS
FIR-777/2025-bca3,Robbery,BNS 2023,257,Broke into house and stole valuables in Dharwad Suburban PS
FIR-873/2025-ddc3,Cyber Crime,BNS 2023,173,Romance scam on dating app leading to crypto transfer
FIR-883/2026-2d06,Murder,BNS 2023,305,Stabbed after a drunken brawl in Dharwad Suburban PS
FIR-305/2026-0f29,Theft,BNS 2023,264,Pickpocketed mobile phone at a crowded market in Vidyanagar PS
FIR-552/2026-349d,Theft,BNS 2023,257,Stole copper wires from a construction site in Saraswathipuram PS
FIR-933/2025-02dd,Theft,BNS 2023,194,Stole copper wires from a construction site in Saraswathipuram PS
FIR-976/2026-1b2e,Murder,BNS 2023,303,Poisoned during a family dispute at Vidyanagar PS
FIR-235/2026-62a2,Robbery,BNS 2023,317,Snatched gold chain while victim was walking near Tilakwadi PS
FIR-519/2026-da4a,Cheating,BNS 2023,132,Chit fund scam defrauding multiple investors in Tumakuru Town PS
FIR-766/2026-5fa4,POCSO,BNS 2023,106,Assaulted minor on the way to school near Dharwad Suburban PS
FIR-330/2025-0539,Cheating,BNS 2023,205,Sold fake property documents to victim in Indiranagar PS
FIR-933/2026-7624,Cheating,BNS 2023,140,Chit fund scam defrauding multiple investors in Dharwad Suburban PS
FIR-170/2025-84a9,NDPS,BNS 2023,178,Found possessing cocaine at a rave party in Hubballi Town PS
FIR-248/2026-c3ae,Assault,BNS 2023,315,Physical altercation over property dispute in Kuvempunagar PS
FIR-629/2026-660f,Assault,BNS 2023,221,Road rage incident leading to severe injuries near Koramangala PS
FIR-442/2025-1864,Assault,BNS 2023,210,Group clash using sticks and stones in Belagavi Camp PS
FIR-721/2026-18b6,Assault,BNS 2023,377,Physical altercation over property dispute in Khadebazar PS
FIR-481/2026-9c42,Cheating,BNS 2023,330,Promised a job and took advance money in Devaraja PS
FIR-383/2025-4873,Assault,BNS 2023,190,Physical altercation over property dispute in Cubbon Park PS
FIR-953/2025-9233,NDPS,BNS 2023,356,Found possessing cocaine at a rave party in Vidyanagar PS
FIR-340/2025-96fa,Cheating,BNS 2023,328,Sold fake property documents to victim in Devaraja PS
FIR-587/2025-f705,Murder,BNS 2023,100,Stabbed after a drunken brawl in Belagavi Camp PS
FIR-966/2025-70c1,Assault,BNS 2023,147,Group clash using sticks and stones in Dharwad Suburban PS
FIR-580/2025-11aa,Assault,BNS 2023,130,Group clash using sticks and stones in Hubballi Town PS
FIR-692/2026-d6ca,Murder,BNS 2023,146,Poisoned during a family dispute at Dharwad Suburban PS
FIR-520/2026-74af,Murder,BNS 2023,261,Attacked with a sharp weapon at night near Khadebazar PS
FIR-260/2025-21f8,Robbery,BNS 2023,391,Threatened with a knife and stole wallet at Saraswathipuram PS
FIR-635/2025-7d8d,Murder,BNS 2023,298,Poisoned during a family dispute at Cubbon Park PS
FIR-493/2025-2072,NDPS,BNS 2023,189,Caught selling marijuana packets near college in Khadebazar PS
FIR-387/2025-d678,POCSO,BNS 2023,393,Harassed minor in the neighborhood of Hubballi Town PS
FIR-147/2026-0e4b,POCSO,BNS 2023,318,Harassed minor in the neighborhood of Saraswathipuram PS
FIR-883/2025-13ac,Cheating,BNS 2023,291,Chit fund scam defrauding multiple investors in Indiranagar PS
FIR-156/2026-6826,Cheating,BNS 2023,114,Sold fake property documents to victim in Tilakwadi PS
