FIR_Number,Accused_Age,Accused_Gender,Accused_Occupation,Recidivist_Flag,Victim_Age,Victim_Gender
FIR-936/2025-f20d,20,Male,Student,No,58,Male
FIR-392/2026-e99d,20,Female,Private Employee,No,32,Female
FIR-883/2025-9372,38,Male,Student,Yes,20,Male
FIR-632/2025-ed77,27,Male,Student,No,70,Female
FIR-502/2025-a39c,41,Male,Unemployed,No,57,Female
FIR-961/2025-e510,43,Male,Student,Yes,52,Male
FIR-609/2025-6bae,35,Male,Private Employee,Yes,31,Male
FIR-698/2026-84ab,43,Male,Student,No,57,Female
FIR-749/2025-abc6,33,Male,Private Employee,Yes,30,Male
FIR-187/2026-d91c,49,Male,Private Employee,Yes,65,Female
FIR-472/2026-23d2,19,Male,Student,No,26,Female
FIR-666/2025-fd4a,46,Male,Unemployed,No,32,Female
FIR-591/2026-6de4,54,Male,Business,No,40,Female
FIR-623/2025-a466,56,Male,Business,No,67,Male
FIR-555/2026-e0c8,29,Male,Business,No,63,Male
FIR-988/2026-b66d,28,Male,Unemployed,No,61,Female
FIR-918/2025-1e99,60,Female,Laborer,Yes,15,Female
FIR-450/2025-c5b1,40,Male,Business,Yes,53,Female
FIR-891/2025-d1fe,60,Female,Private Employee,No,51,Male
FIR-881/2026-058b,28,Male,Laborer,No,12,Female
FIR-455/2026-5480,30,Male,Unemployed,No,31,Female
FIR-402/2026-b05e,51,Male,Laborer,No,41,Male
FIR-842/2026-7c37,24,Male,Business,Yes,19,Female
FIR-150/2025-9737,44,Male,Student,Yes,66,Male
FIR-556/2025-4e07,41,Male,Business,Yes,51,Male
FIR-429/2026-2d47,44,Male,Laborer,No,29,Female
FIR-862/2026-b187,27,Male,Student,No,62,Male
FIR-327/2025-a4db,54,Male,Laborer,No,22,Female
FIR-980/2025-7d33,53,Unknown,Student,No,11,Male
FIR-809/2026-a581,57,Male,Unemployed,No,66,Male
FIR-231/2025-e7b6,59,Male,Student,No,23,Female
FIR-101/2026-c5f2,40,Male,Unemployed,No,51,Male
FIR-826/2026-4ce8,48,Male,Student,Yes,53,Female
FIR-219/2026-7aee,18,Male,Private Employee,No,10,Male
FIR-686/2025-d1d1,44,Male,Business,Yes,29,Male
FIR-148/2026-c25b,45,Male,Business,No,13,Female
FIR-579/2025-7427,39,Male,Student,No,67,Female
FIR-163/2026-4e19,43,Male,Unemployed,No,33,Female
FIR-777/2025-bca3,43,Male,Student,No,51,Male
FIR-873/2025-ddc3,29,Male,Laborer,No,14,Male
FIR-883/2026-2d06,20,Unknown,Business,No,60,Female
FIR-305/2026-0f29,26,Male,Laborer,No,15,Female
FIR-552/2026-349d,30,Male,Business,Yes,54,Male
FIR-933/2025-02dd,29,Male,Student,No,24,Female
FIR-976/2026-1b2e,44,Male,Unemployed,No,53,Male
FIR-235/2026-62a2,41,Unknown,Business,No,65,Female
FIR-519/2026-da4a,47,Male,Laborer,No,23,Female
FIR-766/2026-5fa4,25,Male,Business,Yes,27,Female
FIR-330/2025-0539,24,Male,Student,Yes,38,Male
FIR-933/2026-7624,44,Male,Unemployed,No,44,Male
FIR-170/2025-84a9,43,Male,Private Employee,No,37,Male
FIR-248/2026-c3ae,39,Male,Private Employee,Yes,23,Female
FIR-629/2026-660f,60,Male,Unemployed,Yes,38,Female
FIR-442/2025-1864,21,Male,Laborer,No,45,Female
FIR-721/2026-18b6,51,Male,Student,No,17,Male
FIR-481/2026-9c42,27,Male,Laborer,No,42,Male
FIR-383/2025-4873,46,Male,Business,Yes,19,Male
FIR-953/2025-9233,51,Male,Student,No,31,Female
FIR-340/2025-96fa,20,Male,Laborer,Yes,46,Female
FIR-587/2025-f705,34,Male,Unemployed,Yes,19,Male
FIR-966/2025-70c1,29,Male,Private Employee,No,69,Male
FIR-580/2025-11aa,57,Male,Business,No,60,Male
FIR-692/2026-d6ca,40,Male,Laborer,No,63,Female
FIR-520/2026-74af,44,Female,Business,No,24,Female
FIR-260/2025-21f8,23,Male,Unemployed,No,12,Male
FIR-635/2025-7d8d,59,Male,Private Employee,Yes,55,Female
FIR-493/2025-2072,45,Female,Laborer,No,58,Male
FIR-387/2025-d678,22,Male,Unemployed,Yes,66,Female
FIR-147/2026-0e4b,57,Male,Private Employee,No,45,Female
FIR-883/2025-13ac,27,Male,Private Employee,No,59,Male
FIR-156/2026-6826,50,Male,Student,No,67,Male
FIR-547/2026-d604,48,Male,Business,No,28,Male
FIR-661/2025-15b5,48,Male,Unemployed,Yes,19,Male
FIR-930/2026-2f6e,49,Male,Unemployed,No,29,Male
FIR-135/2025-d214,52,Male,Student,No,48,Male
FIR-578/2025-10a9,20,Male,Student,Yes,18,Male
FIR-960/2026-9f7a,51,Male,Private Employee,Yes,27,Male
FIR-119/2025-2f42,22,Male,Business,No,16,Female
FIR-564/2025-1571,60,Male,Student,No,52,Male
FIR-645/2026-a233,23,Male,Private Employee,Yes,66,Female
FIR-278/2025-9aa8,47,Male,Student,No,16,Female
FIR-162/2025-a950,59,Male,Private Employee,No,59,Male
FIR-691/2026-c157,40,Male,Private Employee,No,24,Female
FIR-594/2026-17de,44,Male,Laborer,No,43,Female
FIR-516/2026-c501,60,Male,Student,Yes,36,Male
FIR-309/2025-34a7,23,Male,Student,Yes,43,Female
FIR-786/2025-3115,41,Male,Laborer,No,30,Female
FIR-623/2025-3a24,52,Male,Student,No,70,Male
FIR-746/2025-4a6d,43,Male,Business,No,40,Female
FIR-706/2025-a0f0,38,Male,Unemployed,No,37,Male
FIR-950/2026-0951,46,Male,Business,Yes,62,Female
FIR-219/2026-e5f7,22,Unknown,Unemployed,Yes,66,Female
FIR-544/2026-63c2,24,Unknown,Private Employee,No,15,Male
FIR-443/2026-42c5,22,Male,Private Employee,No,47,Male
FIR-725/2026-eb73,20,Male,Private Employee,Yes,35,Male
FIR-916/2026-4590,46,Male,Business,No,13,Male
FIR-276/2025-e4e2,60,Male,Student,Yes,32,Female
FIR-158/2026-79f5,34,Male,Laborer,No,33,Female
FIR-281/2025-f461,40,Unknown,Student,No,70,Male
FIR-181/2026-e83e,60,Male,Laborer,Yes,15,Female
FIR-665/2026-9bc3,50,Male,Student,No,61,Male
FIR-222/2026-7bf7,60,Male,Private Employee,No,11,Female
FIR-258/2025-b0db,40,Male,Student,No,15,Female
FIR-345/2025-c33b,23,Male,Student,No,18,Female
FIR-787/2026-642f,35,Male,Unemployed,No,26,Male
FIR-227/2026-2e71,18,Male,Student,No,35,Male
FIR-217/2026-e953,48,Male,Private Employee,No,42,Female
FIR-254/2026-d576,54,Male,Private Employee,No,38,Male
FIR-590/2025-fb67,56,Male,Student,Yes,62,Female
FIR-414/2026-d68c,47,Male,Student,No,14,Male
FIR-285/2026-1c4e,37,Male,Student,Yes,17,Female
FIR-895/2025-2c04,56,Male,Private Employee,No,16,Male
FIR-453/2025-ad0a,50,Male,Unemployed,No,10,Female
FIR-266/2026-e172,33,Male,Student,No,34,Male
FIR-223/2025-e63e,37,Male,Unemployed,No,36,Female
FIR-701/2026-49eb,53,Male,Unemployed,Yes,58,Female
FIR-101/2026-c4fc,18,Male,Unemployed,No,19,Female
FIR-474/2026-e4dd,24,Female,Laborer,No,56,Male
FIR-462/2026-32cb,55,Male,Student,No,64,Male
FIR-107/2026-8908,45,Male,Laborer,No,61,Male
FIR-515/2025-323c,51,Male,Private Employee,No,53,Female
FIR-427/2026-082d,40,Male,Business,No,44,Female
FIR-838/2025-5f1c,18,Male,Student,No,56,Male
FIR-931/2025-1041,18,Male,Unemployed,No,30,Female
FIR-906/2026-e3cf,32,Male,Business,Yes,24,Female
FIR-762/2025-8b5f,24,Male,Unemployed,No,23,Male
FIR-761/2026-2233,25,Male,Unemployed,No,30,Female
FIR-580/2025-47d9,33,Male,Student,No,22,Male
FIR-776/2026-0385,55,Male,Private Employee,Yes,59,Female
FIR-767/2025-32b8,60,Male,Unemployed,Yes,70,Male
FIR-768/2026-1612,31,Male,Laborer,Yes,52,Male
FIR-821/2025-3852,48,Male,Unemployed,No,10,Female
FIR-502/2025-32d4,52,Male,Private Employee,Yes,38,Male
FIR-259/2025-ff15,49,Male,Business,Yes,47,Female
FIR-267/2025-f8ef,40,Male,Student,No,58,Male
FIR-593/2025-c081,56,Male,Unemployed,Yes,41,Male
FIR-683/2025-872c,24,Male,Private Employee,No,44,Male
FIR-702/2026-f443,38,Male,Student,Yes,32,Male
FIR-766/2026-60f9,49,Female,Laborer,No,36,Male
FIR-825/2025-0bca,47,Male,Laborer,No,37,Female
FIR-999/2026-28ee,40,Male,Unemployed,Yes,19,Male
FIR-392/2026-8d8b,21,Male,Business,No,56,Female
FIR-796/2025-4ec1,19,Male,Unemployed,No,67,Male
FIR-358/2025-0ecf,29,Female,Laborer,Yes,51,Female
FIR-935/2026-33cc,25,Female,Private Employee,Yes,13,Female
FIR-234/2026-7ba1,54,Male,Business,No,26,Female
FIR-431/2026-16a4,41,Male,Student,No,10,Female
FIR-677/2026-27d3,44,Male,Unemployed,No,45,Male
FIR-344/2025-a6a2,28,Female,Unemployed,Yes,68,Male
FIR-973/2025-df50,54,Male,Private Employee,No,14,Female
FIR-718/2025-81d1,53,Male,Business,No,20,Male
FIR-224/2026-6a65,48,Male,Private Employee,No,22,Male
FIR-207/2026-eee6,36,Male,Unemployed,No,11,Female
FIR-873/2026-de59,51,Male,Business,No,40,Male
FIR-410/2026-c1f3,41,Male,Business,Yes,56,Male
FIR-340/2025-2bca,37,Male,Student,No,11,Male
FIR-139/2025-4081,32,Male,Unemployed,No,57,Male
FIR-269/2025-352a,50,Male,Laborer,No,35,Female
FIR-372/2025-d776,50,Male,Unemployed,No,19,Male
FIR-718/2026-ee88,46,Male,Business,No,58,Female
FIR-552/2025-fe6a,60,Male,Private Employee,Yes,22,Female
FIR-824/2026-b51d,55,Male,Student,No,16,Female
FIR-927/2026-0931,45,Male,Laborer,No,46,Male
FIR-738/2026-7647,45,Male,Student,No,36,Male
FIR-728/2025-e0fd,26,Male,Unemployed,No,32,Male
FIR-511/2026-0cda,45,Male,Private Employee,No,58,Male
FIR-527/2026-6596,60,Male,Business,No,58,Female
FIR-617/2025-2ed6,52,Male,Laborer,No,67,Female
FIR-134/2025-f059,45,Male,Business,No,23,Male
FIR-412/2025-6487,52,Male,Laborer,Yes,21,Female
FIR-116/2025-3302,28,Male,Private Employee,No,40,Male
FIR-621/2025-8b46,44,Male,Laborer,Yes,52,Male
FIR-543/2025-6c4e,54,Male,Student,No,35,Female
FIR-256/2025-d4d0,24,Male,Student,No,62,Male
FIR-704/2025-4b0b,48,Female,Student,Yes,38,Female
FIR-201/2025-d2d4,33,Male,Student,Yes,10,Female
FIR-812/2025-3f14,44,Male,Unemployed,No,70,Male
FIR-626/2025-785e,48,Male,Student,No,43,Female
FIR-217/2025-7a7e,43,Female,Business,No,15,Male
FIR-450/2025-7a7c,36,Male,Laborer,No,39,Male
FIR-519/2026-7fc9,36,Male,Unemployed,No,16,Female
FIR-485/2026-5a68,24,Unknown,Unemployed,No,29,Female
FIR-720/2025-da61,49,Male,Business,Yes,33,Female
FIR-692/2025-0ddf,24,Male,Private Employee,No,30,Male
FIR-342/2025-59f4,21,Male,Student,No,52,Male
FIR-231/2025-3876,44,Female,Student,No,39,Male
FIR-838/2025-2ecd,47,Male,Laborer,No,21,Male
FIR-352/2025-cb33,38,Unknown,Unemployed,No,20,Male
FIR-926/2025-d181,56,Male,Unemployed,Yes,26,Female
FIR-802/2026-17a3,45,Male,Private Employee,No,18,Male
FIR-336/2026-7009,35,Male,Business,Yes,61,Female
FIR-879/2025-53c5,23,Male,Private Employee,No,43,Female
FIR-346/2026-3f46,38,Male,Laborer,No,59,Male
FIR-746/2025-c30c,23,Male,Unemployed,No,19,Male
FIR-675/2026-5287,53,Male,Private Employee,No,32,Male
FIR-115/2025-eebe,29,Male,Business,No,56,Male
FIR-638/2025-6e45,60,Male,Business,Yes,65,Female
FIR-471/2026-5063,45,Male,Unemployed,Yes,10,Male
FIR-983/2025-6e69,39,Male,Student,No,51,Male
FIR-674/2026-a0d2,19,Male,Unemployed,No,16,Male
FIR-602/2026-263f,18,Male,Private Employee,No,57,Female
FIR-906/2025-3a0a,58,Male,Unemployed,No,50,Male
FIR-512/2025-cefc,38,Unknown,Private Employee,Yes,33,Male
FIR-307/2026-51d0,22,Male,Private Employee,No,38,Female
FIR-892/2026-b2bd,22,Male,Business,No,42,Female
FIR-715/2026-5fa8,27,Male,Laborer,No,36,Male
FIR-550/2026-77e1,36,Male,Business,No,43,Female
FIR-805/2026-63f0,24,Male,Business,No,28,Male
FIR-672/2026-7b4d,43,Male,Laborer,No,20,Male
FIR-215/2025-0f6f,35,Male,Private Employee,No,59,Male
FIR-412/2025-63e4,19,Male,Private Employee,No,41,Female
FIR-961/2025-71c6,22,Male,Laborer,Yes,26,Female
FIR-277/2026-7390,23,Unknown,Business,No,50,Male
FIR-194/2025-a3f7,54,Male,Unemployed,Yes,40,Female
FIR-296/2026-a143,34,Male,Student,No,52,Male
FIR-668/2025-938d,47,Female,Private Employee,No,36,Male
FIR-588/2025-5611,34,Male,Laborer,No,53,Male
FIR-823/2026-65c9,41,Female,Laborer,Yes,48,Male
FIR-693/2026-f287,24,Female,Private Employee,No,32,Male
FIR-996/2025-ac63,18,Male,Laborer,No,64,Female
FIR-892/2025-cc7a,18,Male,Laborer,No,15,Male
FIR-601/2025-c1ac,44,Male,Business,Yes,18,Male
FIR-793/2025-7a21,31,Female,Business,No,45,Female
FIR-113/2025-747a,21,Male,Private Employee,Yes,42,Male
FIR-912/2026-f715,53,Male,Student,Yes,55,Female
FIR-223/2026-becb,31,Male,Laborer,No,36,Male
FIR-558/2026-4d37,54,Male,Student,Yes,42,Male
FIR-778/2025-7c89,42,Male,Business,No,41,Female
FIR-864/2026-0803,39,Male,Unemployed,Yes,49,Male
FIR-359/2026-5722,33,Unknown,Unemployed,Yes,10,Female
FIR-136/2025-c1d5,41,Male,Laborer,No,24,Female
FIR-353/2025-267b,46,Male,Student,Yes,23,Male
FIR-198/2026-c6f9,52,Male,Unemployed,No,52,Male
FIR-552/2026-b42c,27,Male,Private Employee,No,14,Male
FIR-814/2025-a98d,50,Male,Student,No,57,Male
FIR-290/2025-da06,48,Male,Laborer,No,30,Female
FIR-818/2026-8754,30,Male,Private Employee,No,23,Female
FIR-905/2025-b826,27,Male,Business,No,58,Female
FIR-346/2025-6642,60,Female,Unemployed,Yes,45,Male
