FIR_Number,Date,District,Police_Station,Latitude,Longitude,Crime_Head,Status
FIR-936/2025-f20d,2025-09-11,Mysuru City,Kuvempunagar PS,12.33916,76.64708,Cyber Crime,Pending Trial
FIR-392/2026-e99d,2025-01-05,Tumakuru,Tumakuru Town PS,13.30259,77.05937,Theft,Charge Sheeted
FIR-883/2025-9372,2025-12-11,Mysuru City,Saraswathipuram PS,12.30228,76.68786,Theft,Under Investigation
FIR-632/2025-ed77,2025-06-10,Mysuru City,Kuvempunagar PS,12.28115,76.59382,Theft,Closed
FIR-502/2025-a39c,2025-08-27,Tumakuru,Tumakuru Town PS,13.35436,77.10336,Cheating,Charge Sheeted
FIR-961/2025-e510,2025-10-18,Tumakuru,Kyathasandra PS,13.35858,77.1331,NDPS,Closed
FIR-609/2025-6bae,2025-09-30,Mysuru City,Devaraja PS,12.31677,76.66109,Assault,Charge Sheeted
FIR-698/2026-84ab,2025-11-13,Belagavi Dist,Tilakwadi PS,15.84485,74.51183,Cheating,Closed
FIR-749/2025-abc6,2025-08-02,Tumakuru,Tumakuru Town PS,13.36107,77.14219,Theft,Closed
FIR-187/2026-d91c,2025-09-08,Bengaluru City,Malleswaram PS,12.94672,77.64043,Cheating,Charge Sheeted
FIR-472/2026-23d2,2025-02-12,Belagavi Dist,Tilakwadi PS,15.80206,74.54293,Theft,Charge Sheeted
FIR-666/2025-fd4a,2025-07-01,Belagavi Dist,Khadebazar PS,15.8264,74.47985,NDPS,Closed
FIR-591/2026-6de4,2025-06-08,Mysuru City,Kuvempunagar PS,12.29779,76.6307,Murder,Closed
FIR-623/2025-a466,2025-09-17,Bengaluru City,Malleswaram PS,12.95775,77.64416,Robbery,Charge Sheeted
FIR-555/2026-e0c8,2025-02-01,Mysuru City,Kuvempunagar PS,12.33554,76.59682,Robbery,Under Investigation
FIR-988/2026-b66d,2025-01-21,Belagavi Dist,Belagavi Camp PS,15.83054,74.48784,NDPS,Closed
FIR-918/2025-1e99,2025-02-03,Bengaluru City,Koramangala PS,13.00945,77.61027,Robbery,Pending Trial
FIR-450/2025-c5b1,2025-11-15,Belagavi Dist,Belagavi Camp PS,15.80571,74.46903,Robbery,Charge Sheeted
FIR-891/2025-d1fe,2025-07-12,Tumakuru,Kyathasandra PS,13.32587,77.06183,POCSO,Under Investigation
FIR-881/2026-058b,2025-07-12,Hubballi Dharwad City,Vidyanagar PS,15.35694,75.13191,Cyber Crime,Pending Trial
FIR-455/2026-5480,2025-08-13,Tumakuru,Kyathasandra PS,13.32434,77.15049,Murder,Charge Sheeted
FIR-402/2026-b05e,2025-05-23,Mysuru City,Devaraja PS,12.25498,76.68925,Assault,Under Investigation
FIR-842/2026-7c37,2025-05-30,Tumakuru,Kyathasandra PS,13.36196,77.13747,Murder,Charge Sheeted
FIR-150/2025-9737,2025-03-31,Bengaluru City,Koramangala PS,12.93063,77.56031,Theft,Closed
FIR-556/2025-4e07,2025-01-18,Tumakuru,Kyathasandra PS,13.30037,77.11961,Murder,Under Investigation
FIR-429/2026-2d47,2025-10-18,Tumakuru,Kyathasandra PS,13.34118,77.14082,Cheating,Pending Trial
FIR-862/2026-b187,2025-07-05,Mysuru City,Saraswathipuram PS,12.278,76.68771,Murder,Charge Sheeted
FIR-327/2025-a4db,2025-02-12,Mysuru City,Saraswathipuram PS,12.32478,76.61914,Theft,Closed
FIR-980/2025-7d33,2025-06-11,Belagavi Dist,Khadebazar PS,15.88502,74.53212,POCSO,Closed
FIR-809/2026-a581,2025-10-23,Hubballi Dharwad City,Dharwad Suburban PS,15.35589,75.14237,Cheating,Pending Trial
FIR-231/2025-e7b6,2025-12-21,Hubballi Dharwad City,Vidyanagar PS,15.3491,75.12863,Robbery,Pending Trial
FIR-101/2026-c5f2,2025-06-20,Belagavi Dist,Tilakwadi PS,15.82795,74.4836,Cheating,Pending Trial
FIR-826/2026-4ce8,2025-01-17,Hubballi Dharwad City,Hubballi Town PS,15.40693,75.14582,Murder,Under Investigation
FIR-219/2026-7aee,2025-10-03,Mysuru City,Saraswathipuram PS,12.34166,76.64232,Assault,Pending Trial
FIR-686/2025-d1d1,2025-08-16,Tumakuru,Kyathasandra PS,13.36178,77.06584,Theft,Charge Sheeted
FIR-148/2026-c25b,2025-11-30,Hubballi Dharwad City,Dharwad Suburban PS,15.40868,75.16671,Cheating,Closed
FIR-579/2025-7427,2025-03-23,Belagavi Dist,Belagavi Camp PS,15.88075,74.50902,POCSO,Pending Trial
FIR-163/2026-4e19,2025-08-06,Tumakuru,Tumakuru Town PS,13.35465,77.06299,Cheating,Pending Trial
FIR-777/2025-bca3,2025-02-26,Hubballi Dharwad City,Dharwad Suburban PS,15.34789,75.1181,Robbery,Charge Sheeted
FIR-873/2025-ddc3,2025-12-21,Tumakuru,Kyathasandra PS,13.35246,77.11028,Cyber Crime,Under Investigation
FIR-883/2026-2d06,2025-04-01,Hubballi Dharwad City,Dharwad Suburban PS,15.3718,75.08689,Murder,Under Investigation
FIR-305/2026-0f29,2025-12-11,Hubballi Dharwad City,Vidyanagar PS,15.38492,75.09823,Theft,Charge Sheeted
FIR-552/2026-349d,2025-11-20,Mysuru City,Saraswathipuram PS,12.31844,76.66034,Theft,Closed
FIR-933/2025-02dd,2025-01-08,Mysuru City,Saraswathipuram PS,12.31763,76.62812,Theft,Under Investigation
FIR-976/2026-1b2e,2025-03-28,Hubballi Dharwad City,Vidyanagar PS,15.35942,75.0905,Murder,Charge Sheeted
FIR-235/2026-62a2,2025-10-16,Belagavi Dist,Tilakwadi PS,15.83663,74.54276,Robbery,Pending Trial
FIR-519/2026-da4a,2025-12-16,Tumakuru,Tumakuru Town PS,13.29285,77.12722,Cheating,Pending Trial
FIR-766/2026-5fa4,2025-03-24,Hubballi Dharwad City,Dharwad Suburban PS,15.41088,75.14877,POCSO,Closed
FIR-330/2025-0539,2025-02-26,Bengaluru City,Indiranagar PS,12.9914,77.57176,Cheating,Closed
FIR-933/2026-7624,2025-04-09,Hubballi Dharwad City,Dharwad Suburban PS,15.38943,75.16006,Cheating,Closed
FIR-170/2025-84a9,2025-05-17,Hubballi Dharwad City,Hubballi Town PS,15.35993,75.10237,NDPS,Pending Trial
FIR-248/2026-c3ae,2025-12-07,Mysuru City,Kuvempunagar PS,12.24812,76.59187,Assault,Pending Trial
FIR-629/2026-660f,2025-10-07,Bengaluru City,Koramangala PS,13.01692,77.56591,Assault,Closed
FIR-442/2025-1864,2025-06-09,Belagavi Dist,Belagavi Camp PS,15.84013,74.49518,Assault,Under Investigation
FIR-721/2026-18b6,2025-10-04,Belagavi Dist,Khadebazar PS,15.83182,74.49901,Assault,Pending Trial
FIR-481/2026-9c42,2025-07-12,Mysuru City,Devaraja PS,12.24942,76.67667,Cheating,Charge Sheeted
FIR-383/2025-4873,2025-03-19,Bengaluru City,Cubbon Park PS,12.92852,77.5917,Assault,Closed
FIR-953/2025-9233,2025-01-16,Hubballi Dharwad City,Vidyanagar PS,15.40355,75.14606,NDPS,Pending Trial
FIR-340/2025-96fa,2025-08-12,Mysuru City,Devaraja PS,12.25516,76.63795,Cheating,Pending Trial
FIR-587/2025-f705,2025-03-23,Belagavi Dist,Belagavi Camp PS,15.84656,74.46016,Murder,Under Investigation
FIR-966/2025-70c1,2025-02-06,Hubballi Dharwad City,Dharwad Suburban PS,15.37552,75.11144,Assault,Closed
FIR-580/2025-11aa,2025-12-31,Hubballi Dharwad City,Hubballi Town PS,15.3402,75.0889,Assault,Closed
FIR-692/2026-d6ca,2025-08-31,Hubballi Dharwad City,Dharwad Suburban PS,15.3997,75.11391,Murder,Charge Sheeted
FIR-520/2026-74af,2025-06-12,Belagavi Dist,Khadebazar PS,15.88898,74.50137,Murder,Under Investigation
FIR-260/2025-21f8,2025-01-08,Mysuru City,Saraswathipuram PS,12.3242,76.62202,Robbery,Charge Sheeted
FIR-635/2025-7d8d,2025-08-21,Bengaluru City,Cubbon Park PS,12.97607,77.63936,Murder,Under Investigation
FIR-493/2025-2072,2025-01-15,Belagavi Dist,Khadebazar PS,15.83779,74.54344,NDPS,Closed
FIR-387/2025-d678,2025-07-08,Hubballi Dharwad City,Hubballi Town PS,15.32561,75.11782,POCSO,Closed
FIR-147/2026-0e4b,2025-03-17,Mysuru City,Saraswathipuram PS,12.33438,76.59608,POCSO,Under Investigation
FIR-883/2025-13ac,2025-09-30,Bengaluru City,Indiranagar PS,12.98611,77.60771,Cheating,Closed
FIR-156/2026-6826,2025-10-06,Belagavi Dist,Tilakwadi PS,15.85044,74.51635,Cheating,Closed
FIR-547/2026-d604,2025-01-23,Bengaluru City,Indiranagar PS,12.99574,77.59245,Cyber Crime,Closed
FIR-661/2025-15b5,2025-01-19,Belagavi Dist,Tilakwadi PS,15.80684,74.5052,Robbery,Closed
FIR-930/2026-2f6e,2025-01-07,Hubballi Dharwad City,Vidyanagar PS,15.37933,75.09281,Assault,Pending Trial
FIR-135/2025-d214,2025-06-25,Hubballi Dharwad City,Dharwad Suburban PS,15.35267,75.09737,Murder,Closed
FIR-578/2025-10a9,2025-12-28,Bengaluru City,Indiranagar PS,12.94166,77.5944,Murder,Charge Sheeted
FIR-960/2026-9f7a,2025-01-13,Tumakuru,Tumakuru Town PS,13.32992,77.10953,Murder,Pending Trial
FIR-119/2025-2f42,2025-07-27,Bengaluru City,Malleswaram PS,12.97967,77.63682,Murder,Charge Sheeted
FIR-564/2025-1571,2025-05-22,Hubballi Dharwad City,Dharwad Suburban PS,15.33562,75.12665,Cheating,Closed
FIR-645/2026-a233,2025-05-05,Belagavi Dist,Khadebazar PS,15.82179,74.49913,NDPS,Under Investigation
FIR-278/2025-9aa8,2025-08-13,Belagavi Dist,Tilakwadi PS,15.81155,74.45372,Cheating,Closed
FIR-162/2025-a950,2025-03-08,Bengaluru City,Koramangala PS,13.00883,77.59702,Cheating,Under Investigation
FIR-691/2026-c157,2025-03-17,Belagavi Dist,Tilakwadi PS,15.84978,74.47901,Murder,Under Investigation
FIR-594/2026-17de,2025-08-14,Tumakuru,Tumakuru Town PS,13.33565,77.07243,Murder,Pending Trial
FIR-516/2026-c501,2025-08-08,Belagavi Dist,Belagavi Camp PS,15.84331,74.50642,Murder,Under Investigation
FIR-309/2025-34a7,2025-10-07,Tumakuru,Kyathasandra PS,13.33284,77.11117,Theft,Charge Sheeted
FIR-786/2025-3115,2025-05-22,Mysuru City,Saraswathipuram PS,12.31688,76.66226,Cyber Crime,Closed
FIR-623/2025-3a24,2025-07-21,Hubballi Dharwad City,Dharwad Suburban PS,15.36919,75.07821,NDPS,Under Investigation
FIR-746/2025-4a6d,2025-09-30,Belagavi Dist,Khadebazar PS,15.81998,74.49866,Cyber Crime,Charge Sheeted
FIR-706/2025-a0f0,2025-11-30,Belagavi Dist,Tilakwadi PS,15.88965,74.45092,Cyber Crime,Charge Sheeted
FIR-950/2026-0951,2025-07-23,Bengaluru City,Cubbon Park PS,12.99094,77.60731,Theft,Charge Sheeted
FIR-219/2026-e5f7,2025-12-13,Bengaluru City,Koramangala PS,12.95291,77.54611,Murder,Under Investigation
FIR-544/2026-63c2,2025-10-28,Belagavi Dist,Khadebazar PS,15.83474,74.54027,Theft,Under Investigation
FIR-443/2026-42c5,2025-09-06,Tumakuru,Kyathasandra PS,13.34728,77.10774,NDPS,Under Investigation
FIR-725/2026-eb73,2025-03-07,Bengaluru City,Koramangala PS,12.93215,77.60665,Robbery,Charge Sheeted
